tweet,hate
 @E: يا رب يا واحد يا أحد بحق يوم الاحد ان تهلك بني سعود المجرمين. لاجل اطفال اليمن شاركوا.,1
@E @E @E @E @E يا لبناني يا فضلات الاستعمار الفرنسي اللبنانيين بالخليج يشغلون نسوانهم عاهرات,1
@E عليك لعنه الله يا فتنه الفتنه اشد من القتل انت محرض من النوع الاخوانجي سلمان الحزم سلمان الانسانيه سلمان من دمر كم يا اخوانجي يا شيعي يا ابن موزه عاش سلمان الحزم عاش عاش ملك العرب ,1
"@E @E أولا يا إبن الشرموطة السعودية , ليش تتكلم مصري , يمكن أمك ناكها حارس العمارة المصري جنبكم مسكينة مبس داعس على وجوهكم يا كلاب يا بدو يا معفنين تبي فلوس على تأكلكم من عرق طيزها ههههههه, والله لأجيك يا إبن الشرموطة البدوية لأنيكك و إحشي كس",1
@E شكلك فرحان يا عبدالرحمن يا اخي انت يهودي و لا ايش ملتك مستحيل تكون مسلم,1
 @E: @E هل مازال يوجد مدنيون بعد قتلكم لهم وتدمير بيوتهم يا قتلة يا عملاء يا مأجورين يا عبيد الامارات ومصر والس…,1
@E الحين تكتب لي لا تصير عنصري وتكتب هنا خدم حمار انت حمار مثل فريقك تعبت اربيك واربي اشكالك يا صغير الرياضه اششش بس الحوش يالله انت وربعك وخل المنصات والبطولات لعمانك . بلوك كبر وجهك يا رخيص يا ادعائي مسوي ضاغط وهو مشخوط في تويتر وفي ارضه ,1
الله يلعنكم يا عبيد يا بقايا حجاج روح خذلك موزة يا قرد ✊🏿✊🏿✊🏿يا اسود تفو روحو ارجعو بلادكم الأصلي يا افارقة ختفو يا حمير بس الوم لاعبين ما خبركم تهبطون يا حمير #الاتحادالنصر,1
اول شي يا عربي انت احكي تونسي حتى نصدق انك تونسي<>ثانيا هالشي مستحيل يكون صار عندهم لان حتى لو البنت عندها رخصة قيادة سياره الحافله غير<>ثالثا التونسيات يقودو طيارات يا راس البصل وراس الفجل وراس الهم انتي يا جاهل يا متخلف يا عربي يا مرييييييض موت من تونس ومن بنات #تونس ,1
@E @E يا دحباشي يا فارسي يا ابن المتعة يا ذي انت من كل ذكر قطره يا بقايا الفرس والاحباش والاتراك حرر غرفة نومك من عيال حسن نصر الله وبعدين تعال تكلم مع اسيادك<>دحباشي حقير ومتسول في شوارع الرياض وتجي تسب لملك الحزم الذي يدوس على اسيادك ا,1
خلوني اشوفكم يا عيال الكلب يا وضيعين يا فقر فايزين بكأس الملك وربي ما يفصل بيننا الا رب العباد,1
يلا يا زمالكوية يا ولاد المتناكة يا شوية مناكية فى طيازها فلايك مينفعش مع كسمكم غير قله العقل,1
@E وانت مين يا حمساوي يا ابو أصل واطي عشان تأيد ولا ترفض,1
@E @E @E لعنت الله عليك يا شارب بول البعير يا عبد امريكا ،،، اذهب ابحث عن أفريقي 😂😂😂😂,1
الشوط الثاني يا قاتل يا مقتول يا عيال الكلب يا خدم,1
@E @E @E @E @E تحرير فلسطين اله رجاله ، وانتوا يا نسل البنجال والهنود، كل نسلكم مخلط من السواقين والخدم ، آل سلول يهود مستعبدينكم ومخنثيكم يا حوش يا زبالة الامم يا عرة الشعوب ، نصيحه اعمل فحص جينات لحا,1
@E صاحب الحساب ذا قطري أخونجي عفن يبي يسوي تتش بيننا وبين حبابينا الامارات ... أقول بعيده على شواربك يا قطري يا اخونجي يا عفن,1
@E الكردي ما هذه العنصرية البغيضة يا مزورين يا كارهي دين الله يا عبيد اتاتورك,1
@E @E @E انت لا حافظ تاريخك ولا تاريخ غيرك يا مُستعرب يا ابن ستين شـ*** وطه ولك عم بكولك انكلع يا صرمايه شو مابدك تفهم 😂😂😂,1
@E طبعا لازم يكون سيء يا بتوع فهيم عمر و جهاد جريشة و عاشور و المرتشي و إبراهيم نور الدين يا وسخين يا بتوع الفار السنة الي فاتت بكاري جاسما مش عاجبكوا يابقر وانفجر اتفو عليكوا,1
